0 42 46
0 43 45
0 44 43
0 45 42
0 46 44
1 47 50
1 48 49
1 49 51
1 50 48
1 51 47
2 52 53
2 53 55
2 54 52
2 55 72
2 72 54
3 56 58
3 57 56
3 58 92
3 59 57
3 92 59
4 60 97
4 61 77
4 62 61
4 77 60
4 97 62
5 63 112
5 64 65
5 65 125
5 112 64
5 125 63
6 66 67
6 67 102
6 82 66
6 102 138
6 138 82
7 68 117
7 69 68
7 117 144
7 130 69
7 144 130
8 70 145
8 86 139
8 121 86
8 139 70
8 145 121
9 71 150
9 89 123
9 123 155
9 150 89
9 155 71
10 106 134
10 134 148
10 142 106
10 148 160
10 160 142
11 109 153
11 136 109
11 153 161
11 158 136
11 161 158
12 72 74
12 73 42
12 74 73
12 75 76
12 76 72
12 42 75
13 77 79
13 78 43
13 79 78
13 80 81
13 81 77
13 43 80
14 82 83
14 83 80
14 84 85
14 85 82
14 44 84
14 80 44
15 86 87
15 87 75
15 88 86
15 45 78
15 75 45
15 78 88
16 89 90
16 90 84
16 91 89
16 46 73
16 73 91
16 84 46
17 92 94
17 93 47
17 94 93
17 95 96
17 96 92
17 47 95
18 97 99
18 98 48
18 99 98
18 100 101
18 101 97
18 48 100
19 102 104
19 103 49
19 104 103
19 105 102
19 49 98
19 98 105
20 106 107
20 107 100
20 108 106
20 50 93
20 93 108
20 100 50
21 109 110
21 110 95
21 111 109
21 51 103
21 95 51
21 103 111
22 112 114
22 113 52
22 114 113
22 115 116
22 116 112
22 52 115
23 117 119
23 118 53
23 119 118
23 120 117
23 53 113
23 113 120
24 121 122
24 122 115
24 54 76
24 76 87
24 87 121
24 115 54
25 123 91
25 124 123
25 55 118
25 74 55
25 91 74
25 118 124
26 125 127
26 126 56
26 127 126
26 128 129
26 129 125
26 56 128
27 130 131
27 131 128
27 132 133
27 133 130
27 57 132
27 128 57
28 134 108
28 135 134
28 58 126
28 94 58
28 108 94
28 126 135
29 136 137
29 137 132
29 59 96
29 96 110
29 110 136
29 132 59
30 138 105
30 60 81
30 81 83
30 83 138
30 99 60
30 105 99
31 139 88
31 140 141
31 141 139
31 61 140
31 79 61
31 88 79
32 142 143
32 143 140
32 62 101
32 101 107
32 107 142
32 140 62
33 144 120
33 63 129
33 114 63
33 120 114
33 129 131
33 131 144
34 145 147
34 146 64
34 147 146
34 64 116
34 116 122
34 122 145
35 148 135
35 149 148
35 65 146
35 127 65
35 135 127
35 146 149
36 150 152
36 151 66
36 152 151
36 66 85
36 85 90
36 90 150
37 153 111
37 154 153
37 67 151
37 104 67
37 111 104
37 151 154
38 155 124
38 156 157
38 157 155
38 68 156
38 119 68
38 124 119
39 158 159
39 159 156
39 69 133
39 133 137
39 137 158
39 156 69
40 160 149
40 70 141
40 141 143
40 143 160
40 147 70
40 149 147
41 161 154
41 71 157
41 152 71
41 154 152
41 157 159
41 159 161
42 73 46
42 45 75
43 78 45
43 44 80
44 46 84
47 93 50
47 51 95
48 98 49
48 50 100
49 103 51
52 113 53
52 54 115
53 118 55
54 72 76
55 74 72
56 126 58
56 57 128
57 59 132
58 94 92
59 92 96
60 99 97
60 77 81
61 79 77
61 62 140
62 97 101
63 114 112
63 125 129
64 146 65
64 112 116
65 127 125
66 151 67
66 82 85
67 104 102
68 119 117
68 69 156
69 130 133
70 147 145
70 139 141
71 152 150
71 155 157
73 74 91
75 87 76
78 79 88
80 83 81
82 138 83
84 90 85
86 121 87
86 88 139
89 150 90
89 91 123
93 94 108
95 110 96
98 99 105
100 107 101
102 105 138
103 104 111
106 142 107
106 108 134
109 136 110
109 111 153
113 114 120
115 122 116
117 120 144
118 119 124
121 145 122
123 124 155
126 127 135
128 131 129
130 144 131
132 137 133
134 135 148
136 158 137
140 143 141
142 160 143
146 147 149
148 149 160
151 152 154
153 154 161
156 159 157
158 161 159
